"Name","ExpPoints"
"String","int"
1,30
2,50
3,100
4,150
5,200
6,250
7,300
8,350
9,400
10,450
11,500
12,550
13,600
14,650
15,700
16,750
17,800
18,850
19,900
20,950
21,1000
22,1050
23,1100
24,1150
25,1200
26,1250
27,1300
28,1350
29,1400
30,1450
31,1500
32,1550
33,1600
34,1650
35,1700
36,1750
37,1800
38,1850
39,1900
40,1950
41,2000
42,2050
43,2100
44,2150
45,2200
46,2250
47,2300
48,2350
49,2400
50,2450
51,2500
52,2550
53,2600
54,2650
55,2700
56,2750
57,2800
58,2850
59,2900
60,2950
61,3000
62,3050
63,3100
64,3150
65,3200
66,3250
67,3300
68,3350
69,3400
70,3450
71,3500
72,3550
73,3600
74,3650
75,3700
76,3750
77,3800
78,3850
79,3900
80,3950
81,4000
82,4050
83,4100
84,4150
85,4200
86,4250
87,4300
88,4350
89,4400
90,4450
91,4500
92,4550
93,4600
94,4650
95,4700
96,4750
97,4800
98,4850
99,4900
100,4950
101,5000
102,5050
103,5100
104,5150
105,5200
106,5250
107,5300
108,5350
109,5400
110,5450
111,5500
112,5550
113,5600
114,5650
115,5700
116,5750
117,5800
118,5850
119,5900
120,5950
121,6000
122,6050
123,6100
124,6150
125,6200
126,6250
127,6300
128,6350
129,6400
130,6450
131,6500
132,6550
133,6600
134,6650
135,6700
136,6750
137,6800
138,6850
139,6900
140,6950
141,7000
142,7050
143,7100
144,7150
145,7200
146,7250
147,7300
148,7350
149,7400
150,7450
151,7500
152,7550
153,7600
154,7650
155,7700
156,7750
157,7800
158,7850
159,7900
160,7950
161,8000
162,8050
163,8100
164,8150
165,8200
166,8250
167,8300
168,8350
169,8400
170,8450
171,8500
172,8550
173,8600
174,8650
175,8700
176,8750
177,8800
178,8850
179,8900
180,8950
181,9000
182,9050
183,9100
184,9150
185,9200
186,9250
187,9300
188,9350
189,9400
190,9450
191,9500
192,9550
193,9600
194,9650
195,9700
196,9750
197,9800
198,9850
199,9900
200,9950
201,10000
202,10500
203,11000
204,11500
205,12000
206,12500
207,13000
208,13500
209,14000
210,14500
211,15000
212,15500
213,16000
214,16500
215,17000
216,17500
217,18000
218,18500
219,19000
220,19500
221,20000
222,20500
223,21000
224,21500
225,22000
226,22500
227,23000
228,23500
229,24000
230,24500
231,25000
232,25500
233,26000
234,26500
235,27000
236,27500
237,28000
238,28500
239,29000
240,29500
241,30000
242,30500
243,31000
244,31500
245,32000
246,32500
247,33000
248,33500
249,34000
250,34500
251,35000
252,35500
253,36000
254,36500
255,37000
256,37500
257,38000
258,38500
259,39000
260,39500
261,40000
262,40500
263,41000
264,41500
265,42000
266,42500
267,43000
268,43500
269,44000
270,44500
271,45000
272,45500
273,46000
274,46500
275,47000
276,47500
277,48000
278,48500
279,49000
280,49500
281,50000
282,50500
283,51000
284,51500
285,52000
286,52500
287,53000
288,53500
289,54000
290,54500
291,55000
292,55500
293,56000
294,56500
295,57000
296,57500
297,58000
298,58500
299,59000
300,60000
301,61000
302,62000
303,63000
304,64000
305,65000
306,66000
307,67000
308,68000
309,69000
310,70000
311,71000
312,72000
313,73000
314,74000
315,75000
316,76000
317,77000
318,78000
319,79000
320,80000
321,81000
322,82000
323,83000
324,84000
325,85000
326,86000
327,87000
328,88000
329,89000
330,90000
331,91000
332,92000
333,93000
334,94000
335,95000
336,96000
337,97000
338,98000
339,99000
340,100000
341,101000
342,102000
343,103000
344,104000
345,105000
346,106000
347,107000
348,108000
349,109000
350,110000
351,111000
352,112000
353,113000
354,114000
355,115000
356,116000
357,117000
358,118000
359,119000
360,120000
361,121000
362,122000
363,123000
364,124000
365,125000
366,126000
367,127000
368,128000
369,129000
370,130000
371,131000
372,132000
373,133000
374,134000
375,135000
376,136000
377,137000
378,138000
379,139000
380,140000
381,141000
382,142000
383,143000
384,144000
385,145000
386,146000
387,147000
388,148000
389,149000
390,150000
391,151000
392,152000
393,153000
394,154000
395,155000
396,156000
397,157000
398,158000
399,159000
400,160000
401,161000
402,162000
403,163000
404,164000
405,165000
406,166000
407,167000
408,168000
409,169000
410,170000
411,171000
412,172000
413,173000
414,174000
415,175000
416,176000
417,177000
418,178000
419,179000
420,180000
421,181000
422,182000
423,183000
424,184000
425,185000
426,186000
427,187000
428,188000
429,189000
430,190000
431,191000
432,192000
433,193000
434,194000
435,195000
436,196000
437,197000
438,198000
439,199000
440,200000
441,201000
442,202000
443,203000
444,204000
445,205000
446,206000
447,207000
448,208000
449,209000
450,210000
451,211000
452,212000
453,213000
454,214000
455,215000
456,216000
457,217000
458,218000
459,219000
460,220000
461,221000
462,222000
463,223000
464,224000
465,225000
466,226000
467,227000
468,228000
469,229000
470,230000
471,231000
472,232000
473,233000
474,234000
475,235000
476,236000
477,237000
478,238000
479,239000
480,240000
481,241000
482,242000
483,243000
484,244000
485,245000
486,246000
487,247000
488,248000
489,249000
490,250000
491,251000
492,252000
493,253000
494,254000
495,255000
496,256000
497,257000
498,258000
499,259000
500,260000
501,260000
502,260000
503,260000
504,260000
505,260000
506,260000
507,260000
508,260000
509,260000
510,260000
511,260000
512,260000
513,260000
514,260000
515,260000
516,260000
517,260000
518,260000
519,260000
520,260000
521,260000
522,260000
523,260000
524,260000
525,260000
526,260000
527,260000
528,260000
529,260000
530,260000
531,260000
532,260000
533,260000
534,260000
535,260000
536,260000
537,260000
538,260000
539,260000
540,260000
541,260000
542,260000
543,260000
544,260000
545,260000
546,260000
547,260000
548,260000
549,260000
550,260000
551,260000
552,260000
553,260000
554,260000
555,260000
556,260000
557,260000
558,260000
559,260000
560,260000
561,260000
562,260000
563,260000
564,260000
565,260000
566,260000
567,260000
568,260000
569,260000
570,260000
571,260000
572,260000
573,260000
574,260000
575,260000
576,260000
577,260000
578,260000
579,260000
580,260000
581,260000
582,260000
583,260000
584,260000
585,260000
586,260000
587,260000
588,260000
589,260000
590,260000
591,260000
592,260000
593,260000
594,260000
595,260000
596,260000
597,260000
598,260000
599,260000
600,261000
601,261000
602,261000
603,261000
604,261000
605,261000
606,261000
607,261000
608,261000
609,261000
610,261000
611,261000
612,261000
613,261000
614,261000
615,261000
616,261000
617,261000
618,261000
619,261000
620,261000
621,261000
622,261000
623,261000
624,261000
625,261000
626,261000
627,261000
628,261000
629,261000
630,261000
631,261000
632,261000
633,261000
634,261000
635,261000
636,261000
637,261000
638,261000
639,261000
640,261000
641,261000
642,261000
643,261000
644,261000
645,261000
646,261000
647,261000
648,261000
649,261000
650,261000
651,261000
652,261000
653,261000
654,261000
655,261000
656,261000
657,261000
658,261000
659,261000
660,261000
661,261000
662,261000
663,261000
664,261000
665,261000
666,261000
667,261000
668,261000
669,261000
670,261000
671,261000
672,261000
673,261000
674,261000
675,261000
676,261000
677,261000
678,261000
679,261000
680,261000
681,261000
682,261000
683,261000
684,261000
685,261000
686,261000
687,261000
688,261000
689,261000
690,261000
691,261000
692,261000
693,261000
694,261000
695,261000
696,261000
697,261000
698,261000
699,261000
700,262000
701,262000
702,262000
703,262000
704,262000
705,262000
706,262000
707,262000
708,262000
709,262000
710,262000
711,262000
712,262000
713,262000
714,262000
715,262000
716,262000
717,262000
718,262000
719,262000
720,262000
721,262000
722,262000
723,262000
724,262000
725,262000
726,262000
727,262000
